MediaKey,AssetID,Exists
originals/Tadaruz 1-20/JUZ 3/PREVIEW/Revised JUZ 3 - TADARUZ AL-QURAN.mov,003ba089-87ab-457b-a807-cc628e628684,false
originals/Tadaruz 1-20/JUZ 2/SUBS/JUZ 2 - TADARUZ AL-QURAN.vtt,2559307a-5285-41bc-9de1-057ae857bdd4,true
originals/Tadaruz 1-20/JUZ 2/SUBS/JUZ 2 - TADARUZ AL-QURAN.srt 2,b14c6974-a3e0-4012-8ec6-5c4e9ce23b6a,true
originals/Tadaruz 1-20/JUZ 2/MASTER/JUZ 2 -TADARUZ AL QURAN [MASTER V2].mov,ec5f4b9a-c9d4-4be8-99ab-7a1f6c566921,true
originals/Tadaruz 1-20/JUZ 2/MASTER/Tadaruz Al Quran - Juz 2 [Housemaster].mov,a17afa39-a3b5-4018-b74f-cc0730a6279f,true
originals/Tadaruz 1-20/JUZ 2/PREVIEW/Juz 2 Subtitles [PREVIEW]_SRT_English.srt,7cdd4bfd-516c-4878-b8bc-630110289b18,true
originals/Tadaruz 1-20/JUZ 2/PREVIEW/Tadaruz Al Quran - Juz 2 [V3].mov,24be4b8d-a5c4-487d-a272-31f739b26cf0,false
originals/Tadaruz 1-20/JUZ 1/test-juz-1_srt_english.vtt,c8d176c6-4dd1-4363-85c7-e835a1e9177d,true
originals/Tadaruz 1-20/JUZ 1/TEST JUZ 1.mov,290247e9-63b7-4b15-95ef-b8b7df969ac2,true
originals/Tadaruz 1-20/JUZ 1/SUBS/JUZ 1 - TADARUZ AL QURAN.vtt,09a7e49e-1d8d-4e5a-b42c-0206e1ab63dc,true
originals/Tadaruz 1-20/JUZ 1/SUBS/JUZ 1 - TADARUZ AL QURAN_SRT 2_English.srt,2f0ef407-7a68-40cb-bc39-9c1fac13407d,true
originals/Tadaruz 1-20/JUZ 1/OFFLINE/TADARUZ AL QURAN JUZ 1 (2ND PREVIEW) v2.mov,4d85cdd3-8656-4b65-b7dd-71f2442e45ed,false
originals/Tadaruz 1-20/JUZ 1/MASTER/Tadaruz Al Quran Juz 1 V2.mov,9212f0c6-26d4-434a-abcd-a493cd22c410,true
originals/Tadaruz 1-20/JUZ 1/MASTER/MASTER Tadaruz Al Quran Juz 1.mov,dd33d270-d242-4b9b-a003-38503a7f54a6,true
originals/Tadaruz 1-20/TRAILERS/MOVs/SYAZWAN/MUSLIM PRO - FULL JUZ 3.mov,3c86ab70-0226-4b79-adfc-88e908bc458d,true
originals/Tadaruz 1-20/TRAILERS/MOVs/SYAZWAN/Promo Syazwan_ProRes_single.mov,e29fa9b6-ce08-4bed-b30f-bbf04e9f6d6b,true
originals/Tadaruz 1-20/TRAILERS/MOVs/SYAZWAN/Promo Syazwan_ProRes_dual logo.mov,878a1e12-4fbd-4ffa-95e1-4e54d84b238d,true
originals/Tadaruz 1-20/TRAILERS/MOVs/SYAZWAN/Promo Syazwan_ProRes_clean.mov,057af41b-6107-43be-972d-65091266e383,true
originals/Tadaruz 1-20/TRAILERS/MOVs/TARMIZI/Promo Tarmizi_ProRes_dual logo.mov,5fbd7bb4-8811-45ae-903b-462c8e40c943,true
originals/Tadaruz 1-20/TRAILERS/MOVs/TARMIZI/Promo Tarmizi_ProRes_clean.mov,fc45a2b7-414b-4007-886b-374d55eeea37,true
originals/Tadaruz 1-20/TRAILERS/MOVs/TARMIZI/Promo Tarmizi_ProRes_single.mov,8fdd86c1-1104-475b-8514-b7f1d51e03e2,true
